institution.displayName,institution.schoolType,institution.state,institution.city,institution.zip,ranking.displayRank,ranking.sortRank,searchData.tuition.rawValue,searchData.hsGpaAvg.rawValue,searchData.enrollment.rawValue,searchData.satAvg.rawValue,searchData.testAvgs.displayValue.1.value
Kent State University,national-universities,OH,Kent,44242,#227,227,22316,3.7,20418,1000,18-25
Kent State University at East Liverpool,regional-colleges-midwest,OH,East Liverpool,,#68-74,-1,16164,,1021,,N/A
Kentucky Christian University,regional-colleges-south,KY,Grayson,41143,#64,64,25000,,603,800,16-21
Kentucky State University,regional-colleges-south,KY,Frankfort,40601,#34,34,13260,2.7,1610,795,14-23
Kentucky Wesleyan College,regional-colleges-south,KY,Owensboro,42301,#22,22,31300,3.5,780,980,18-23
Kenyon College,national-liberal-arts-colleges,OH,Gambier,43022,#39,39,69330,3.9,1885,1370,31-34
Kettering College,health,OH,Kettering,45429,Unranked,-2,14664,,617,,N/A
Kettering University,regional-universities-midwest,MI,Flint,48504,#9,9,46380,3.8,1422,1130,24-30
Keuka College,regional-universities-north,NY,Keuka Park,14478,#137,137,38000,3,985,940,N/A
Keystone College,regional-colleges-north,PA,La Plume,18440,#29,29,17450,3.1,1060,910,17-25
King's College,regional-universities-north,PA,Wilkes-Barre,18711,#91,91,42600,3.3,1671,1070,22-26
The King's College,national-liberal-arts-colleges,NY,New York,10004,#167,167,21690,,384,1140,24-30
King University,regional-universities-south,TN,Bristol,37620,#59,59,14771,3.4,1122,1010,18-24
Knox College,national-liberal-arts-colleges,IL,Galesburg,61401,#75,75,55587,,1060,1163,27-32
Kutztown University of Pennsylvania,regional-universities-north,PA,Kutztown,19530,#116,116,15270,3.3,6508,1040,19-26
Kuyper College,regional-colleges-midwest,MI,Grand Rapids,49525,#56,56,25370,,114,,N/A
Laboure College,health,MA,Milton,,Unranked,-2,32813,,1038,,N/A
Lackawanna College,regional-colleges-north,PA,Scranton,18509,Unranked,-2,17340,,1916,,N/A
Lafayette College,national-liberal-arts-colleges,PA,Easton,18042,#30,30,61824,3.6,2729,1330,30-33
